case,concurrency,phase,backend,trial_groups,process_runs,cohorts_per_process,warmup_cohorts,wall_ns_per_exchange_median,wall_ns_per_exchange_min,wall_ns_per_exchange_max,wall_ns_per_exchange_p25,wall_ns_per_exchange_p75,wall_median_bootstrap95_low,wall_median_bootstrap95_high,cpu_ns_per_exchange_median,cpu_ns_per_exchange_min,cpu_ns_per_exchange_max,cohort_completion_ns_median,exchanges_per_second,bidirectional_payload_mib_per_second,cold_connection_p50_ns,cold_connection_p95_ns
fixed4k,1,steady,generic,5,5,5584,2048,49705.737643266475,48682.090974212035,69808.30336676218,49156.17227793696,50465.37052292263,48682.090974212035,69808.30336676218,49703.88610315186,48680.21131805157,69807.3782234957,49705.737643266475,20118.401766349558,157.17501379960592,,
fixed4k,1,steady,native,5,5,5584,2048,44816.89058022923,44087.23477793696,59357.2106017192,44289.24212034384,46961.44931948424,44087.23477793696,59357.2106017192,44816.27865329513,44081.21418338109,59356.37535816619,44816.89058022923,22313.016076156466,174.3204380949724,,
fixed4k,8,cold,generic,5,75,1,0,87772.95833333333,84542.75833333333,105234.05,85076.225,92555.11666666667,84542.75833333333,105234.05,87433.33333333333,84062.5,104222.5,702183.6666666666,11393.03059835722,89.00805154966578,684810,956592.7999999999
fixed4k,8,cold,native,5,75,1,0,75909.45,73197.40833333334,97825.59166666666,74716.09166666666,76747.69166666667,73197.40833333334,97825.59166666666,74855.83333333333,72930.0,94940.83333333333,607275.6,13173.59037642876,102.91867481584968,602308,780561.3
fixed4k,8,steady,generic,5,5,885,256,40960.30946327683,40417.736299435026,43991.077259887,40679.74858757062,41024.92514124294,40417.736299435026,43991.077259887,40959.70338983051,40417.274011299436,43990.621468926554,327682.47570621467,24413.878046906724,190.73342224145878,,
fixed4k,8,steady,native,5,5,885,256,35452.18375706215,35257.00706214689,38078.48968926554,35354.4604519774,35790.23460451978,35257.00706214689,38078.48968926554,35451.680790960454,35255.77683615819,38074.19491525424,283617.4700564972,28207.007129731406,220.3672432010266,,
fixed4k,32,cold,generic,5,35,1,0,55441.4375,52943.625,61074.27232142857,54000.71428571428,56686.080357142855,52943.625,61074.27232142857,54219.642857142855,52231.69642857143,60958.92857142857,1774126.0,18037.050356062646,140.91445590673942,1703717,2273899.5999999996
fixed4k,32,cold,native,5,35,1,0,47970.330357142855,47565.20982142857,49197.14732142857,47844.888392857145,49182.794642857145,47565.20982142857,49197.14732142857,47787.5,47425.892857142855,48302.232142857145,1535050.5714285714,20846.218747190647,162.86108396242693,1520522,1758864.5999999999
fixed4k,32,steady,generic,5,5,234,64,38307.4125267094,37999.0,53750.79019764957,38295.61725427351,43023.26856303419,37999.0,53750.79019764957,38306.931089743586,37998.47756410256,53749.17200854701,1225837.2008547008,26104.608326202182,203.94225254845455,,
fixed4k,32,steady,native,5,5,234,64,34043.01295405983,33245.316639957266,49499.832932692305,33397.13060897436,46789.30515491453,33245.316639957266,49499.832932692305,34042.57478632479,33244.85844017094,49499.105235042734,1089376.4145299145,29374.603280546122,229.48908812926658,,
fixed4k,128,cold,generic,5,10,1,0,44962.37890625,44506.6953125,61171.828125,44530.328125,45583.484375,44506.6953125,61171.828125,44944.53125,44421.484375,61146.875,5755184.5,22240.81608504471,173.7563756644118,5799634.5,7838414.1
fixed4k,128,cold,native,5,10,1,0,40543.95703125,39784.55859375,56847.16796875,40133.3984375,40641.421875,39784.55859375,56847.16796875,40397.265625,39739.0625,56827.734375,5189626.5,24664.588097043208,192.69209450815006,5194226.0,7283292.55
