mode,case,concurrency,fragment,phase,trials,median_ns,min_ns,max_ns,median_overhead_percent
auto,duplex,128,17,steady,5,42613.662109375,41560.83251953125,62175.96337890625,5.759688897310822
direct,duplex,128,1024,steady,5,4409.778869628906,4363.822937011719,5980.3984375,0.0
selected,duplex,128,1024,steady,5,4528.4359130859375,4444.6097412109375,6650.606201171875,2.690770829218847
auto,duplex,128,1024,steady,5,4494.042541503906,4475.2861328125,7287.05517578125,1.9108366738146865
direct,duplex,128,65536,steady,5,3567.1093139648438,3547.011962890625,3571.6118774414062,0.0
selected,duplex,128,65536,steady,5,3604.0512084960938,3586.8707885742188,3615.2006225585938,1.0356255241920076
auto,duplex,128,65536,steady,5,3592.5488891601562,3576.6045532226562,3837.169189453125,0.7131706083612022
direct,32k,1,17,steady,5,298564.17578125,293870.1875,301973.25390625,0.0
selected,32k,1,17,steady,5,317388.29296875,315400.337890625,337674.23046875,6.304881400537465
auto,32k,1,17,steady,5,316440.43359375,315559.63671875,321002.619140625,5.987408826167218
direct,32k,1,1024,steady,5,13496.75830078125,13162.349609375,13634.69775390625,0.0
selected,32k,1,1024,steady,5,13654.788818359375,13498.19873046875,13747.125244140625,1.1708775845009844
auto,32k,1,1024,steady,5,13766.041015625,13601.482177734375,13838.4814453125,1.9951658675562367
direct,32k,1,65536,steady,5,6947.043212890625,6908.1826171875,7058.69580078125,0.0
selected,32k,1,65536,steady,5,7009.20166015625,6946.268798828125,7075.80712890625,0.8947468060985564
auto,32k,1,65536,steady,5,7022.141357421875,6959.452392578125,7506.892578125,1.0810087432866489
direct,32k,8,17,steady,5,295241.166015625,289272.625,298774.677734375,0.0
selected,32k,8,17,steady,5,321028.4609375,319388.111328125,326402.072265625,8.734315498710043
auto,32k,8,17,steady,5,314830.697265625,312491.05859375,320073.220703125,6.635094798725749
direct,32k,8,1024,steady,5,13323.634033203125,13276.36962890625,15502.071533203125,0.0
selected,32k,8,1024,steady,5,13784.186279296875,13565.5576171875,13827.533203125,3.4566563817801654
auto,32k,8,1024,steady,5,13698.723876953125,13556.643310546875,13939.607177734375,2.81522175417952
direct,32k,8,65536,steady,5,6807.149658203125,6777.052978515625,8785.687255859375,0.0
selected,32k,8,65536,steady,5,6857.32080078125,6826.614013671875,9034.492919921875,0.7370359856517128
auto,32k,8,65536,steady,5,6863.550048828125,6810.133544921875,10100.0283203125,0.8285463587102582
direct,32k,64,17,steady,5,294291.115234375,288782.220703125,300212.421875,0.0
selected,32k,64,17,steady,5,317825.208984375,312093.37109375,464835.58203125,7.996875383498181
auto,32k,64,17,steady,5,335452.259765625,316148.2421875,431926.150390625,13.986539994069824
direct,32k,64,1024,steady,5,13258.03271484375,13097.85400390625,13541.679443359375,0.0
selected,32k,64,1024,steady,5,13692.2158203125,13635.66845703125,13987.36279296875,3.274868261432462
auto,32k,64,1024,steady,5,13699.21875,13566.4609375,13852.656982421875,3.327688539056761
direct,32k,64,65536,steady,5,6851.4404296875,6803.077880859375,7127.568359375,0.0
selected,32k,64,65536,steady,5,7054.39794921875,6994.218505859375,7418.757080078125,2.9622605875959884
auto,32k,64,65536,steady,5,6877.099609375,6820.706298828125,7370.4658203125,0.374507812639191
direct,32k,128,17,steady,5,299760.92578125,297144.78125,418724.59765625,0.0
selected,32k,128,17,steady,5,315060.0078125,313241.38671875,317627.263671875,5.103761269544016
auto,32k,128,17,steady,5,315419.90234375,311699.576171875,329714.654296875,5.22382179121208
direct,32k,128,1024,steady,5,13310.4990234375,13101.52880859375,17212.766357421875,0.0
selected,32k,128,1024,steady,5,13728.662109375,13566.7998046875,19447.156982421875,3.1416033704009694
auto,32k,128,1024,steady,5,13959.72265625,13731.3671875,18717.17138671875,4.877530374100392
direct,32k,128,65536,steady,5,6930.73779296875,6862.843994140625,9491.301513671875,0.0
selected,32k,128,65536,steady,5,7073.021240234375,6989.089111328125,9730.487548828125,2.052933634424492
auto,32k,128,65536,steady,5,6944.680419921875,6907.29736328125,8193.14794921875,0.2011708907422527
direct,1m,1,17,steady,5,9416459.375,9240943.625,9647526.5625,0.0
selected,1m,1,17,steady,5,10118276.75,9985323.6875,10810623.9375,7.453091943063783
auto,1m,1,17,steady,5,10133949.625,10075428.0625,16606490.6875,7.619533217600694
direct,1m,1,1024,steady,5,356500.984375,351742.296875,357777.65625,0.0
